# t_s  proc_perf_pct  cpu_pct  temp_c
3 79.5 2.3 20.1
10 79.6 11.8 20.1
17 79.6 13.6 20.1
24 79.6 13.5 20.1
31 79.6 8.9 20.1
38 79.6 13.0 20.1
45 79.6 12.4 20.1
52 79.6 13.1 20.1
59 79.6 13.8 20.1
66 79.6 19.6 20.1
73 79.6 15.8 20.1
80 79.6 13.1 20.1
87 79.6 12.7 20.1
94 79.6 13.1 20.1
101 79.6 12.5 20.1
108 79.6 19.6 20.1
115 79.6 13.1 20.1
122 79.6 12.2 20.1
129 79.6 11.7 20.1
136 79.6 12.4 20.1
143 79.6 12.9 20.1
150 79.6 12.7 20.1
157 79.6 13.0 20.1
164 79.6 14.1 20.1
171 79.6 11.9 20.1
179 79.6 13.0 20.1
186 79.6 13.2 20.1
193 79.6 13.6 20.1
200 79.6 13.0 20.1
207 79.6 12.5 20.1
214 79.6 12.9 20.1
221 79.6 12.5 20.1
228 79.6 13.6 20.1
235 79.6 13.0 20.1
242 79.6 13.3 20.1
249 79.6 12.2 20.1
256 79.6 13.3 20.1
263 79.6 13.2 20.1
270 79.6 13.0 20.1
277 79.6 12.5 20.1
284 79.6 12.4 20.1
291 79.6 12.1 20.1
298 79.6 12.5 20.1
305 79.6 11.9 20.1
312 77.1 0.2 20.1
319 78.4 1.9 20.1
326 78.7 1.0 20.1
333 78.8 1.4 20.1
340 78.5 3.1 20.1
